VIN,trip_id,StartTrip,EndTrip,Trajectory,AltitudeTrajectory,start_latitude,start_longitude,start_altitude_m,end_latitude,end_longitude,end_altitude_m,duration_seconds,duration_minutes,distance_m,distance_km,straight_line_distance_m,average_speed_kmh,max_segment_speed_kmh,point_count,quality_status,quality_flags,trajectory_timestamp_method,fuel,hyb,model
VIN003,VIN003_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.89,2.26],[48.8925,2.262],[48.895,2.264],[48.8975,2.266],[48.9,2.268]]","[70.0,70.5,71.0,71.5,72.0]",48.89,2.26,70.0,48.9,2.268,72.0,480.0,8.0,1256.37,1.25637,1256.37,9.423,9.423,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN003,VIN003_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.893,2.264],[48.8958,2.2662],[48.8986,2.2684],[48.9014,2.2706],[48.9042,2.2728],[48.907,2.275]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.893,2.264,70.0,48.907,2.275,72.0,540.0,9.0,1752.123,1.752123,1752.123,11.681,11.681,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN003,VIN003_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.896,2.268],[48.899,2.2703333],[48.902,2.2726667],[48.905,2.275],[48.908,2.2773333],[48.911,2.2796667],[48.914,2.282]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.896,2.268,70.0,48.914,2.282,72.0,600.0,10.0,2247.909,2.247909,2247.909,13.487,13.488,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN003,VIN003_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.899,2.272],[48.9015,2.27625],[48.904,2.2805],[48.9065,2.28475],[48.909,2.289]]","[70.0,70.5,71.0,71.5,72.0]",48.899,2.272,70.0,48.909,2.289,72.0,660.0,11.0,1667.441,1.667441,1667.441,9.095,9.096,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN003,VIN003_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.902,2.276],[48.9048,2.2776],[48.9076,2.2792],[48.9104,2.2808],[48.9132,2.2824],[48.916,2.284]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.902,2.276,70.0,48.916,2.284,72.0,720.0,12.0,1662.904,1.662904,1662.904,8.315,8.315,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN004,VIN004_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.92,2.28],[48.9225,2.282],[48.925,2.284],[48.9275,2.286],[48.93,2.288]]","[70.0,70.5,71.0,71.5,72.0]",48.92,2.28,70.0,48.93,2.288,72.0,480.0,8.0,1256.206,1.256206,1256.206,9.422,9.422,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN004,VIN004_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.923,2.284],[48.9258,2.2862],[48.9286,2.2884],[48.9314,2.2906],[48.9342,2.2928],[48.937,2.295]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.923,2.284,70.0,48.937,2.295,72.0,540.0,9.0,1751.901,1.751901,1751.901,11.679,11.68,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN004,VIN004_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.926,2.288],[48.929,2.2903333],[48.932,2.2926667],[48.935,2.295],[48.938,2.2973333],[48.941,2.2996667],[48.944,2.302]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.926,2.288,70.0,48.944,2.302,72.0,600.0,10.0,2247.63,2.24763,2247.63,13.486,13.486,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN004,VIN004_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.929,2.292],[48.9315,2.29625],[48.934,2.3005],[48.9365,2.30475],[48.939,2.309]]","[70.0,70.5,71.0,71.5,72.0]",48.929,2.292,70.0,48.939,2.309,72.0,660.0,11.0,1666.885,1.666885,1666.885,9.092,9.092,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN004,VIN004_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.932,2.296],[48.9348,2.2976],[48.9376,2.2992],[48.9404,2.3008],[48.9432,2.3024],[48.946,2.304]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.932,2.296,70.0,48.946,2.304,72.0,720.0,12.0,1662.781,1.662781,1662.781,8.314,8.314,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN005,VIN005_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.95,2.3],[48.9525,2.302],[48.955,2.304],[48.9575,2.306],[48.96,2.308]]","[70.0,70.5,71.0,71.5,72.0]",48.95,2.3,70.0,48.96,2.308,72.0,480.0,8.0,1256.043,1.256043,1256.043,9.42,9.42,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN005,VIN005_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.953,2.304],[48.9558,2.3062],[48.9586,2.3084],[48.9614,2.3106],[48.9642,2.3128],[48.967,2.315]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.953,2.304,70.0,48.967,2.315,72.0,540.0,9.0,1751.68,1.75168,1751.68,11.678,11.678,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN005,VIN005_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.956,2.308],[48.959,2.3103333],[48.962,2.3126667],[48.965,2.315],[48.968,2.3173333],[48.971,2.3196667],[48.974,2.322]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.956,2.308,70.0,48.974,2.322,72.0,600.0,10.0,2247.35,2.24735,2247.35,13.484,13.484,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN005,VIN005_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.959,2.312],[48.9615,2.31625],[48.964,2.3205],[48.9665,2.32475],[48.969,2.329]]","[70.0,70.5,71.0,71.5,72.0]",48.959,2.312,70.0,48.969,2.329,72.0,660.0,11.0,1666.329,1.666329,1666.329,9.089,9.089,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN005,VIN005_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.962,2.316],[48.9648,2.3176],[48.9676,2.3192],[48.9704,2.3208],[48.9732,2.3224],[48.976,2.324]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.962,2.316,70.0,48.976,2.324,72.0,720.0,12.0,1662.657,1.662657,1662.657,8.313,8.313,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN006,VIN006_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.98,2.32],[48.9825,2.322],[48.985,2.324],[48.9875,2.326],[48.99,2.328]]","[70.0,70.5,71.0,71.5,72.0]",48.98,2.32,70.0,48.99,2.328,72.0,480.0,8.0,1255.88,1.25588,1255.88,9.419,9.419,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN006,VIN006_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.983,2.324],[48.9858,2.3262],[48.9886,2.3284],[48.9914,2.3306],[48.9942,2.3328],[48.997,2.335]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.983,2.324,70.0,48.997,2.335,72.0,540.0,9.0,1751.458,1.751458,1751.458,11.676,11.677,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN006,VIN006_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.986,2.328],[48.989,2.3303333],[48.992,2.3326667],[48.995,2.335],[48.998,2.3373333],[49.001,2.3396667],[49.004,2.342]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.986,2.328,70.0,49.004,2.342,72.0,600.0,10.0,2247.071,2.247071,2247.071,13.482,13.483,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN006,VIN006_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.989,2.332],[48.9915,2.33625],[48.994,2.3405],[48.9965,2.34475],[48.999,2.349]]","[70.0,70.5,71.0,71.5,72.0]",48.989,2.332,70.0,48.999,2.349,72.0,660.0,11.0,1665.773,1.665773,1665.773,9.086,9.086,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN006,VIN006_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.992,2.336],[48.9948,2.3376],[48.9976,2.3392],[49.0004,2.3408],[49.0032,2.3424],[49.006,2.344]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.992,2.336,70.0,49.006,2.344,72.0,720.0,12.0,1662.534,1.662534,1662.534,8.313,8.313,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN007,VIN007_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.01,2.34],[49.0125,2.342],[49.015,2.344],[49.0175,2.346],[49.02,2.348]]","[70.0,70.5,71.0,71.5,72.0]",49.01,2.34,70.0,49.02,2.348,72.0,480.0,8.0,1255.716,1.255716,1255.716,9.418,9.418,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN007,VIN007_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.013,2.344],[49.0158,2.3462],[49.0186,2.3484],[49.0214,2.3506],[49.0242,2.3528],[49.027,2.355]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.013,2.344,70.0,49.027,2.355,72.0,540.0,9.0,1751.237,1.751237,1751.237,11.675,11.675,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN007,VIN007_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.016,2.348],[49.019,2.3503333],[49.022,2.3526667],[49.025,2.355],[49.028,2.3573333],[49.031,2.3596667],[49.034,2.362]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.016,2.348,70.0,49.034,2.362,72.0,600.0,10.0,2246.791,2.246791,2246.791,13.481,13.481,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN007,VIN007_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.019,2.352],[49.0215,2.35625],[49.024,2.3605],[49.0265,2.36475],[49.029,2.369]]","[70.0,70.5,71.0,71.5,72.0]",49.019,2.352,70.0,49.029,2.369,72.0,660.0,11.0,1665.217,1.665217,1665.217,9.083,9.083,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN007,VIN007_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.022,2.356],[49.0248,2.3576],[49.0276,2.3592],[49.0304,2.3608],[49.0332,2.3624],[49.036,2.364]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.022,2.356,70.0,49.036,2.364,72.0,720.0,12.0,1662.411,1.662411,1662.411,8.312,8.312,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN008,VIN008_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.04,2.36],[49.0425,2.362],[49.045,2.364],[49.0475,2.366],[49.05,2.368]]","[70.0,70.5,71.0,71.5,72.0]",49.04,2.36,70.0,49.05,2.368,72.0,480.0,8.0,1255.553,1.255553,1255.553,9.417,9.417,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN008,VIN008_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.043,2.364],[49.0458,2.3662],[49.0486,2.3684],[49.0514,2.3706],[49.0542,2.3728],[49.057,2.375]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.043,2.364,70.0,49.057,2.375,72.0,540.0,9.0,1751.015,1.751015,1751.015,11.673,11.674,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN008,VIN008_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.046,2.368],[49.049,2.3703333],[49.052,2.3726667],[49.055,2.375],[49.058,2.3773333],[49.061,2.3796667],[49.064,2.382]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.046,2.368,70.0,49.064,2.382,72.0,600.0,10.0,2246.511,2.246511,2246.511,13.479,13.479,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN008,VIN008_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.049,2.372],[49.0515,2.37625],[49.054,2.3805],[49.0565,2.38475],[49.059,2.389]]","[70.0,70.5,71.0,71.5,72.0]",49.049,2.372,70.0,49.059,2.389,72.0,660.0,11.0,1664.661,1.664661,1664.661,9.08,9.08,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN008,VIN008_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.052,2.376],[49.0548,2.3776],[49.0576,2.3792],[49.0604,2.3808],[49.0632,2.3824],[49.066,2.384]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.052,2.376,70.0,49.066,2.384,72.0,720.0,12.0,1662.287,1.662287,1662.287,8.311,8.312,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN009,VIN009_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.07,2.38],[49.0725,2.382],[49.075,2.384],[49.0775,2.386],[49.08,2.388]]","[70.0,70.5,71.0,71.5,72.0]",49.07,2.38,70.0,49.08,2.388,72.0,480.0,8.0,1255.39,1.25539,1255.39,9.415,9.416,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN009,VIN009_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.073,2.384],[49.0758,2.3862],[49.0786,2.3884],[49.0814,2.3906],[49.0842,2.3928],[49.087,2.395]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.073,2.384,70.0,49.087,2.395,72.0,540.0,9.0,1750.794,1.750794,1750.794,11.672,11.672,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN009,VIN009_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.076,2.388],[49.079,2.3903333],[49.082,2.3926667],[49.085,2.395],[49.088,2.3973333],[49.091,2.3996667],[49.094,2.402]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.076,2.388,70.0,49.094,2.402,72.0,600.0,10.0,2246.232,2.246232,2246.232,13.477,13.478,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN009,VIN009_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.079,2.392],[49.0815,2.39625],[49.084,2.4005],[49.0865,2.40475],[49.089,2.409]]","[70.0,70.5,71.0,71.5,72.0]",49.079,2.392,70.0,49.089,2.409,72.0,660.0,11.0,1664.104,1.664104,1664.104,9.077,9.077,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN009,VIN009_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.082,2.396],[49.0848,2.3976],[49.0876,2.3992],[49.0904,2.4008],[49.0932,2.4024],[49.096,2.404]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.082,2.396,70.0,49.096,2.404,72.0,720.0,12.0,1662.164,1.662164,1662.164,8.311,8.311,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN010,VIN010_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.1,2.4],[49.1025,2.402],[49.105,2.404],[49.1075,2.406],[49.11,2.408]]","[70.0,70.5,71.0,71.5,72.0]",49.1,2.4,70.0,49.11,2.408,72.0,480.0,8.0,1255.226,1.255226,1255.226,9.414,9.414,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN010,VIN010_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.103,2.404],[49.1058,2.4062],[49.1086,2.4084],[49.1114,2.4106],[49.1142,2.4128],[49.117,2.415]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.103,2.404,70.0,49.117,2.415,72.0,540.0,9.0,1750.572,1.750572,1750.572,11.67,11.671,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN010,VIN010_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.106,2.408],[49.109,2.4103333],[49.112,2.4126667],[49.115,2.415],[49.118,2.4173333],[49.121,2.4196667],[49.124,2.422]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.106,2.408,70.0,49.124,2.422,72.0,600.0,10.0,2245.952,2.245952,2245.952,13.476,13.476,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN010,VIN010_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.109,2.412],[49.1115,2.41625],[49.114,2.4205],[49.1165,2.42475],[49.119,2.429]]","[70.0,70.5,71.0,71.5,72.0]",49.109,2.412,70.0,49.119,2.429,72.0,660.0,11.0,1663.548,1.663548,1663.548,9.074,9.074,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN010,VIN010_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[49.112,2.416],[49.1148,2.4176],[49.1176,2.4192],[49.1204,2.4208],[49.1232,2.4224],[49.126,2.424]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.112,2.416,70.0,49.126,2.424,72.0,720.0,12.0,1662.041,1.662041,1662.041,8.31,8.31,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN011,VIN011_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[49.13,2.42],[49.1325,2.422],[49.135,2.424],[49.1375,2.426],[49.14,2.428]]","[70.0,70.5,71.0,71.5,72.0]",49.13,2.42,70.0,49.14,2.428,72.0,480.0,8.0,1255.063,1.255063,1255.063,9.413,9.413,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN011,VIN011_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[49.133,2.424],[49.1358,2.4262],[49.1386,2.4284],[49.1414,2.4306],[49.1442,2.4328],[49.147,2.435]]","[70.0,70.4,70.8,71.2,71.6,72.0]",49.133,2.424,70.0,49.147,2.435,72.0,540.0,9.0,1750.351,1.750351,1750.351,11.669,11.669,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN011,VIN011_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[49.136,2.428],[49.139,2.4303333],[49.142,2.4326667],[49.145,2.435],[49.148,2.4373333],[49.151,2.4396667],[49.154,2.442]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",49.136,2.428,70.0,49.154,2.442,72.0,600.0,10.0,2245.673,2.245673,2245.673,13.474,13.474,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN011,VIN011_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[49.139,2.432],[49.1415,2.43625],[49.144,2.4405],[49.1465,2.44475],[49.149,2.449]]","[70.0,70.5,71.0,71.5,72.0]",49.139,2.432,70.0,49.149,2.449,72.0,660.0,11.0,1662.991,1.662991,1662.991,9.071,9.071,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
