trip_id,VIN,point_index,point_role,timestamp,elapsed_seconds,latitude,longitude,altitude_m,segment_distance_m,cumulative_distance_m,segment_speed_kmh,timestamp_method
VIN001_20260213T130000Z_0003,VIN001,5,trajectory,2026-02-13T13:08:20+00:00,500.0,48.851,2.2396667,71.7,374.74,1873.737,13.491,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,6,destination,2026-02-13T13:10:00+00:00,600.0,48.854,2.242,72.0,374.732,2248.469,13.49,interpolated_between_trip_triggers
VIN001_20260213T160000Z_0004,VIN001,0,start,2026-02-13T16:00:00+00:00,0.0,48.839,2.232,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN001_20260213T160000Z_0004,VIN001,1,trajectory,2026-02-13T16:02:45+00:00,165.0,48.8415,2.23625,70.5,417.155,417.155,9.102,interpolated_between_trip_triggers
VIN001_20260213T160000Z_0004,VIN001,2,trajectory,2026-02-13T16:05:30+00:00,330.0,48.844,2.2405,71.0,417.144,834.299,9.101,interpolated_between_trip_triggers
VIN001_20260213T160000Z_0004,VIN001,3,trajectory,2026-02-13T16:08:15+00:00,495.0,48.8465,2.24475,71.5,417.132,1251.432,9.101,interpolated_between_trip_triggers
VIN001_20260213T160000Z_0004,VIN001,4,destination,2026-02-13T16:11:00+00:00,660.0,48.849,2.249,72.0,417.121,1668.552,9.101,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,0,start,2026-02-13T19:00:00+00:00,0.0,48.842,2.236,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,1,trajectory,2026-02-13T19:02:24+00:00,144.0,48.8448,2.2376,70.4,332.635,332.635,8.316,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,2,trajectory,2026-02-13T19:04:48+00:00,288.0,48.8476,2.2392,70.8,332.633,665.267,8.316,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,3,trajectory,2026-02-13T19:07:12+00:00,432.0,48.8504,2.2408,71.2,332.63,997.898,8.316,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,4,trajectory,2026-02-13T19:09:36+00:00,576.0,48.8532,2.2424,71.6,332.628,1330.526,8.316,interpolated_between_trip_triggers
VIN001_20260213T190000Z_0005,VIN001,5,destination,2026-02-13T19:12:00+00:00,720.0,48.856,2.244,72.0,332.626,1663.151,8.316,interpolated_between_trip_triggers
VIN002_20260213T070000Z_0001,VIN002,0,start,2026-02-13T07:00:00+00:00,0.0,48.86,2.24,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN002_20260213T070000Z_0001,VIN002,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.8625,2.242,70.5,314.138,314.138,9.424,interpolated_between_trip_triggers
VIN002_20260213T070000Z_0001,VIN002,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.865,2.244,71.0,314.135,628.273,9.424,interpolated_between_trip_triggers
VIN002_20260213T070000Z_0001,VIN002,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.8675,2.246,71.5,314.132,942.405,9.424,interpolated_between_trip_triggers
VIN002_20260213T070000Z_0001,VIN002,4,destination,2026-02-13T07:08:00+00:00,480.0,48.87,2.248,72.0,314.128,1256.533,9.424,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,0,start,2026-02-13T10:00:00+00:00,0.0,48.863,2.244,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.8658,2.2462,70.4,350.477,350.477,11.683,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.8686,2.2484,70.8,350.473,700.95,11.682,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.8714,2.2506,71.2,350.469,1051.419,11.682,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.8742,2.2528,71.6,350.465,1401.884,11.682,interpolated_between_trip_triggers
VIN002_20260213T100000Z_0002,VIN002,5,destination,2026-02-13T10:09:00+00:00,540.0,48.877,2.255,72.0,350.461,1752.344,11.682,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,0,start,2026-02-13T13:00:00+00:00,0.0,48.866,2.248,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,1,trajectory,2026-02-13T13:01:40+00:00,100.0,48.869,2.2503333,70.3,374.709,374.709,13.49,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,2,trajectory,2026-02-13T13:03:20+00:00,200.0,48.872,2.2526667,70.7,374.707,749.416,13.489,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,3,trajectory,2026-02-13T13:05:00+00:00,300.0,48.875,2.255,71.0,374.699,1124.116,13.489,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,4,trajectory,2026-02-13T13:06:40+00:00,400.0,48.878,2.2573333,71.3,374.695,1498.81,13.489,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,5,trajectory,2026-02-13T13:08:20+00:00,500.0,48.881,2.2596667,71.7,374.693,1873.504,13.489,interpolated_between_trip_triggers
VIN002_20260213T130000Z_0003,VIN002,6,destination,2026-02-13T13:10:00+00:00,600.0,48.884,2.262,72.0,374.685,2248.189,13.489,interpolated_between_trip_triggers
VIN002_20260213T160000Z_0004,VIN002,0,start,2026-02-13T16:00:00+00:00,0.0,48.869,2.252,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN002_20260213T160000Z_0004,VIN002,1,trajectory,2026-02-13T16:02:45+00:00,165.0,48.8715,2.25625,70.5,417.017,417.017,9.099,interpolated_between_trip_triggers
VIN002_20260213T160000Z_0004,VIN002,2,trajectory,2026-02-13T16:05:30+00:00,330.0,48.874,2.2605,71.0,417.005,834.022,9.098,interpolated_between_trip_triggers
VIN002_20260213T160000Z_0004,VIN002,3,trajectory,2026-02-13T16:08:15+00:00,495.0,48.8765,2.26475,71.5,416.993,1251.015,9.098,interpolated_between_trip_triggers
VIN002_20260213T160000Z_0004,VIN002,4,destination,2026-02-13T16:11:00+00:00,660.0,48.879,2.269,72.0,416.982,1667.997,9.098,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,0,start,2026-02-13T19:00:00+00:00,0.0,48.872,2.256,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,1,trajectory,2026-02-13T19:02:24+00:00,144.0,48.8748,2.2576,70.4,332.61,332.61,8.315,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,2,trajectory,2026-02-13T19:04:48+00:00,288.0,48.8776,2.2592,70.8,332.608,665.218,8.315,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,3,trajectory,2026-02-13T19:07:12+00:00,432.0,48.8804,2.2608,71.2,332.606,997.824,8.315,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,4,trajectory,2026-02-13T19:09:36+00:00,576.0,48.8832,2.2624,71.6,332.603,1330.427,8.315,interpolated_between_trip_triggers
VIN002_20260213T190000Z_0005,VIN002,5,destination,2026-02-13T19:12:00+00:00,720.0,48.886,2.264,72.0,332.601,1663.028,8.315,interpolated_between_trip_triggers
VIN003_20260213T070000Z_0001,VIN003,0,start,2026-02-13T07:00:00+00:00,0.0,48.89,2.26,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN003_20260213T070000Z_0001,VIN003,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.8925,2.262,70.5,314.098,314.098,9.423,interpolated_between_trip_triggers
VIN003_20260213T070000Z_0001,VIN003,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.895,2.264,71.0,314.094,628.192,9.423,interpolated_between_trip_triggers
VIN003_20260213T070000Z_0001,VIN003,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.8975,2.266,71.5,314.091,942.282,9.423,interpolated_between_trip_triggers
VIN003_20260213T070000Z_0001,VIN003,4,destination,2026-02-13T07:08:00+00:00,480.0,48.9,2.268,72.0,314.087,1256.37,9.423,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,0,start,2026-02-13T10:00:00+00:00,0.0,48.893,2.264,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.8958,2.2662,70.4,350.433,350.433,11.681,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.8986,2.2684,70.8,350.429,700.861,11.681,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.9014,2.2706,71.2,350.425,1051.286,11.681,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.9042,2.2728,71.6,350.42,1401.706,11.681,interpolated_between_trip_triggers
VIN003_20260213T100000Z_0002,VIN003,5,destination,2026-02-13T10:09:00+00:00,540.0,48.907,2.275,72.0,350.416,1752.123,11.681,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,0,start,2026-02-13T13:00:00+00:00,0.0,48.896,2.268,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,1,trajectory,2026-02-13T13:01:40+00:00,100.0,48.899,2.2703333,70.3,374.662,374.662,13.488,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,2,trajectory,2026-02-13T13:03:20+00:00,200.0,48.902,2.2726667,70.7,374.661,749.323,13.488,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,3,trajectory,2026-02-13T13:05:00+00:00,300.0,48.905,2.275,71.0,374.653,1123.976,13.488,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,4,trajectory,2026-02-13T13:06:40+00:00,400.0,48.908,2.2773333,71.3,374.648,1498.624,13.487,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,5,trajectory,2026-02-13T13:08:20+00:00,500.0,48.911,2.2796667,71.7,374.647,1873.271,13.487,interpolated_between_trip_triggers
VIN003_20260213T130000Z_0003,VIN003,6,destination,2026-02-13T13:10:00+00:00,600.0,48.914,2.282,72.0,374.639,2247.909,13.487,interpolated_between_trip_triggers
VIN003_20260213T160000Z_0004,VIN003,0,start,2026-02-13T16:00:00+00:00,0.0,48.899,2.272,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN003_20260213T160000Z_0004,VIN003,1,trajectory,2026-02-13T16:02:45+00:00,165.0,48.9015,2.27625,70.5,416.878,416.878,9.096,interpolated_between_trip_triggers
VIN003_20260213T160000Z_0004,VIN003,2,trajectory,2026-02-13T16:05:30+00:00,330.0,48.904,2.2805,71.0,416.866,833.744,9.095,interpolated_between_trip_triggers
VIN003_20260213T160000Z_0004,VIN003,3,trajectory,2026-02-13T16:08:15+00:00,495.0,48.9065,2.28475,71.5,416.854,1250.598,9.095,interpolated_between_trip_triggers
VIN003_20260213T160000Z_0004,VIN003,4,destination,2026-02-13T16:11:00+00:00,660.0,48.909,2.289,72.0,416.843,1667.441,9.095,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,0,start,2026-02-13T19:00:00+00:00,0.0,48.902,2.276,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,1,trajectory,2026-02-13T19:02:24+00:00,144.0,48.9048,2.2776,70.4,332.585,332.585,8.315,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,2,trajectory,2026-02-13T19:04:48+00:00,288.0,48.9076,2.2792,70.8,332.583,665.169,8.315,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,3,trajectory,2026-02-13T19:07:12+00:00,432.0,48.9104,2.2808,71.2,332.581,997.749,8.315,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,4,trajectory,2026-02-13T19:09:36+00:00,576.0,48.9132,2.2824,71.6,332.579,1330.328,8.314,interpolated_between_trip_triggers
VIN003_20260213T190000Z_0005,VIN003,5,destination,2026-02-13T19:12:00+00:00,720.0,48.916,2.284,72.0,332.576,1662.904,8.314,interpolated_between_trip_triggers
VIN004_20260213T070000Z_0001,VIN004,0,start,2026-02-13T07:00:00+00:00,0.0,48.92,2.28,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN004_20260213T070000Z_0001,VIN004,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.9225,2.282,70.5,314.057,314.057,9.422,interpolated_between_trip_triggers
VIN004_20260213T070000Z_0001,VIN004,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.925,2.284,71.0,314.053,628.11,9.422,interpolated_between_trip_triggers
VIN004_20260213T070000Z_0001,VIN004,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.9275,2.286,71.5,314.05,942.16,9.421,interpolated_between_trip_triggers
VIN004_20260213T070000Z_0001,VIN004,4,destination,2026-02-13T07:08:00+00:00,480.0,48.93,2.288,72.0,314.046,1256.206,9.421,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,0,start,2026-02-13T10:00:00+00:00,0.0,48.923,2.284,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.9258,2.2862,70.4,350.388,350.388,11.68,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.9286,2.2884,70.8,350.384,700.773,11.679,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.9314,2.2906,71.2,350.38,1051.153,11.679,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.9342,2.2928,71.6,350.376,1401.529,11.679,interpolated_between_trip_triggers
VIN004_20260213T100000Z_0002,VIN004,5,destination,2026-02-13T10:09:00+00:00,540.0,48.937,2.295,72.0,350.372,1751.901,11.679,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,0,start,2026-02-13T13:00:00+00:00,0.0,48.926,2.288,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,1,trajectory,2026-02-13T13:01:40+00:00,100.0,48.929,2.2903333,70.3,374.616,374.616,13.486,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,2,trajectory,2026-02-13T13:03:20+00:00,200.0,48.932,2.2926667,70.7,374.614,749.23,13.486,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,3,trajectory,2026-02-13T13:05:00+00:00,300.0,48.935,2.295,71.0,374.606,1123.836,13.486,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,4,trajectory,2026-02-13T13:06:40+00:00,400.0,48.938,2.2973333,71.3,374.602,1498.437,13.486,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,5,trajectory,2026-02-13T13:08:20+00:00,500.0,48.941,2.2996667,71.7,374.6,1873.038,13.486,interpolated_between_trip_triggers
VIN004_20260213T130000Z_0003,VIN004,6,destination,2026-02-13T13:10:00+00:00,600.0,48.944,2.302,72.0,374.592,2247.63,13.485,interpolated_between_trip_triggers
VIN004_20260213T160000Z_0004,VIN004,0,start,2026-02-13T16:00:00+00:00,0.0,48.929,2.292,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN004_20260213T160000Z_0004,VIN004,1,trajectory,2026-02-13T16:02:45+00:00,165.0,48.9315,2.29625,70.5,416.739,416.739,9.092,interpolated_between_trip_triggers
VIN004_20260213T160000Z_0004,VIN004,2,trajectory,2026-02-13T16:05:30+00:00,330.0,48.934,2.3005,71.0,416.727,833.466,9.092,interpolated_between_trip_triggers
VIN004_20260213T160000Z_0004,VIN004,3,trajectory,2026-02-13T16:08:15+00:00,495.0,48.9365,2.30475,71.5,416.715,1250.181,9.092,interpolated_between_trip_triggers
VIN004_20260213T160000Z_0004,VIN004,4,destination,2026-02-13T16:11:00+00:00,660.0,48.939,2.309,72.0,416.704,1666.885,9.092,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,0,start,2026-02-13T19:00:00+00:00,0.0,48.932,2.296,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,1,trajectory,2026-02-13T19:02:24+00:00,144.0,48.9348,2.2976,70.4,332.561,332.561,8.314,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,2,trajectory,2026-02-13T19:04:48+00:00,288.0,48.9376,2.2992,70.8,332.558,665.119,8.314,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,3,trajectory,2026-02-13T19:07:12+00:00,432.0,48.9404,2.3008,71.2,332.556,997.675,8.314,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,4,trajectory,2026-02-13T19:09:36+00:00,576.0,48.9432,2.3024,71.6,332.554,1330.229,8.314,interpolated_between_trip_triggers
VIN004_20260213T190000Z_0005,VIN004,5,destination,2026-02-13T19:12:00+00:00,720.0,48.946,2.304,72.0,332.552,1662.781,8.314,interpolated_between_trip_triggers
VIN005_20260213T070000Z_0001,VIN005,0,start,2026-02-13T07:00:00+00:00,0.0,48.95,2.3,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN005_20260213T070000Z_0001,VIN005,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.9525,2.302,70.5,314.016,314.016,9.42,interpolated_between_trip_triggers
VIN005_20260213T070000Z_0001,VIN005,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.955,2.304,71.0,314.012,628.028,9.42,interpolated_between_trip_triggers
VIN005_20260213T070000Z_0001,VIN005,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.9575,2.306,71.5,314.009,942.037,9.42,interpolated_between_trip_triggers
VIN005_20260213T070000Z_0001,VIN005,4,destination,2026-02-13T07:08:00+00:00,480.0,48.96,2.308,72.0,314.006,1256.043,9.42,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,0,start,2026-02-13T10:00:00+00:00,0.0,48.953,2.304,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.9558,2.3062,70.4,350.344,350.344,11.678,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.9586,2.3084,70.8,350.34,700.684,11.678,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.9614,2.3106,71.2,350.336,1051.02,11.678,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.9642,2.3128,71.6,350.332,1401.352,11.678,interpolated_between_trip_triggers
VIN005_20260213T100000Z_0002,VIN005,5,destination,2026-02-13T10:09:00+00:00,540.0,48.967,2.315,72.0,350.328,1751.68,11.678,interpolated_between_trip_triggers
