vin,triggerOrContext,name,scalarValue,timeSeriesValue,vehicleCollectionTime,inCdpTime,fuel,hyb,model
VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.809,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.212,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.819,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.229,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.809, 48.8115, 48.814, 48.8165, 48.819]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.212, 2.21625, 2.2205, 2.22475, 2.229]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.812,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.216,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.826,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.224,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.812, 48.8148, 48.8176, 48.8204, 48.8232, 48.826]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.216, 2.2176, 2.2192, 2.2208, 2.2224, 2.224]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLatitude,48.83,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLongitude,2.22,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLatitude,48.84,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLongitude,2.228,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.83, 48.8325, 48.835, 48.8375, 48.84]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.22, 2.222, 2.224, 2.226, 2.228]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLatitude,48.833,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLongitude,2.224,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLatitude,48.847,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLongitude,2.235,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.833, 48.8358, 48.8386, 48.8414, 48.8442, 48.847]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.224, 2.2262, 2.2284, 2.2306, 2.2328, 2.235]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLatitude,48.836,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLongitude,2.228,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLatitude,48.854,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLongitude,2.242,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.836, 48.839, 48.842, 48.845, 48.848, 48.851, 48.854]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.228, 2.2303333, 2.2326667, 2.235, 2.2373333, 2.2396667, 2.242]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.3, 70.7, 71.0, 71.3, 71.7, 72.0]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLatitude,48.839,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLongitude,2.232,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLatitude,48.849,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLongitude,2.249,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.839, 48.8415, 48.844, 48.8465, 48.849]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.232, 2.23625, 2.2405, 2.24475, 2.249]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLatitude,48.842,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,locationLongitude,2.236,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLatitude,48.856,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,locationLongitude,2.244,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.842, 48.8448, 48.8476, 48.8504, 48.8532, 48.856]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.236, 2.2376, 2.2392, 2.2408, 2.2424, 2.244]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN001,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLatitude,48.86,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLongitude,2.24,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLatitude,48.87,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLongitude,2.248,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.86, 48.8625, 48.865, 48.8675, 48.87]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.24, 2.242, 2.244, 2.246, 2.248]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLatitude,48.863,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLongitude,2.244,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLatitude,48.877,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLongitude,2.255,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.863, 48.8658, 48.8686, 48.8714, 48.8742, 48.877]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.244, 2.2462, 2.2484, 2.2506, 2.2528, 2.255]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLatitude,48.866,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLongitude,2.248,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLatitude,48.884,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLongitude,2.262,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.866, 48.869, 48.872, 48.875, 48.878, 48.881, 48.884]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.248, 2.2503333, 2.2526667, 2.255, 2.2573333, 2.2596667, 2.262]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.3, 70.7, 71.0, 71.3, 71.7, 72.0]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLatitude,48.869,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLongitude,2.252,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T16:00:00Z,2026-02-13T16:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLatitude,48.879,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLongitude,2.269,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.869, 48.8715, 48.874, 48.8765, 48.879]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.252, 2.25625, 2.2605, 2.26475, 2.269]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T16:11:00Z,2026-02-13T16:11:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLatitude,48.872,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,locationLongitude,2.256,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T19:00:00Z,2026-02-13T19:00:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLatitude,48.886,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,locationLongitude,2.264,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.872, 48.8748, 48.8776, 48.8804, 48.8832, 48.886]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.256, 2.2576, 2.2592, 2.2608, 2.2624, 2.264]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN002,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T19:12:00Z,2026-02-13T19:12:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,locationLatitude,48.89,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,locationLongitude,2.26,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,locationLatitude,48.9,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,locationLongitude,2.268,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.89, 48.8925, 48.895, 48.8975, 48.9]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.26, 2.262, 2.264, 2.266, 2.268]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,locationLatitude,48.893,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,locationLongitude,2.264,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,locationLatitude,48.907,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,locationLongitude,2.275,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN003,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.893, 48.8958, 48.8986, 48.9014, 48.9042, 48.907]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.264, 2.2662, 2.2684, 2.2706, 2.2728, 2.275]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN003,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
